F,2022-11-06 16:22:25.357847,0.20,0.03,0.92,-17.03,15.81,2.69,105.92,69.85,-98.83,1
F,2022-11-06 16:22:25.375733,0.27,0.06,0.88,-17.94,9.28,0.06,105.92,69.85,-98.83,1
F,2022-11-06 16:22:25.394690,0.23,0.09,0.88,-12.63,4.03,4.39,107.89,69.41,-96.64,1
F,2022-11-06 16:22:25.412587,0.18,0.14,0.90,-12.33,3.17,3.48,107.89,69.41,-96.64,1
F,2022-11-06 16:22:25.431698,0.16,0.15,0.96,-10.38,6.71,1.53,110.79,69.90,-96.70,1
F,2022-11-06 16:22:25.449701,0.27,0.05,0.88,-7.93,3.72,1.28,110.79,69.90,-96.70,1
F,2022-11-06 16:22:25.467722,0.29,0.01,0.83,-15.38,-0.06,4.03,110.79,69.90,-96.70,1
F,2022-11-06 16:22:25.486871,0.28,0.02,0.80,-24.41,-4.70,6.71,113.76,71.02,-97.27,1
F,2022-11-06 16:22:25.504819,0.16,0.41,1.03,-17.88,4.27,-9.83,113.76,71.02,-97.27,1
F,2022-11-06 16:22:25.522586,0.23,0.33,0.91,1.10,-0.79,1.71,113.76,71.02,-97.27,1
F,2022-11-06 16:22:25.541737,0.25,0.29,0.95,21.48,-1.77,18.74,114.64,70.92,-96.14,1
F,2022-11-06 16:22:25.559833,0.20,0.50,0.92,21.18,-10.50,-7.39,114.64,70.92,-96.14,1
F,2022-11-06 16:22:25.578829,0.19,0.32,0.91,0.92,-12.82,-43.21,110.44,71.80,-99.65,1
F,2022-11-06 16:22:25.596836,0.21,0.21,0.89,10.68,-11.29,-35.58,110.44,71.80,-99.65,1
F,2022-11-06 16:22:25.614833,0.20,0.09,0.92,23.50,-9.40,-27.95,110.44,71.80,-99.65,1
F,2022-11-06 16:22:25.633814,0.20,-0.16,0.96,27.40,-10.68,-21.18,102.76,72.13,-104.15,1
F,2022-11-06 16:22:25.652049,0.21,-0.34,0.98,19.53,-7.81,-7.69,102.76,72.13,-104.15,1
F,2022-11-06 16:22:25.669925,0.23,-0.32,0.99,-11.41,3.05,-0.12,102.76,72.13,-104.15,1
F,2022-11-06 16:22:25.688831,0.22,-0.08,1.00,-50.11,1.53,-26.79,100.05,72.46,-106.46,1
F,2022-11-06 16:22:25.706843,0.25,-0.26,1.00,-17.58,5.92,29.54,100.05,72.46,-106.46,1
F,2022-11-06 16:22:25.724853,0.22,0.14,0.93,-15.93,8.42,36.56,100.05,72.46,-106.46,1
F,2022-11-06 16:22:25.743557,0.21,0.14,0.94,-25.39,10.62,14.34,105.14,71.91,-103.60,1
F,2022-11-06 16:22:25.761708,0.22,0.33,0.91,-28.63,7.02,13.00,105.14,71.91,-103.60,1
F,2022-11-06 16:22:25.780663,0.20,0.40,0.91,-25.94,2.81,0.67,110.69,71.74,-100.40,1
F,2022-11-06 16:22:25.798870,0.20,0.42,0.90,-19.17,2.08,-2.56,110.69,71.74,-100.40,1
F,2022-11-06 16:22:25.816721,0.20,0.38,0.89,-13.37,0.18,-8.18,110.69,71.74,-100.40,1
F,2022-11-06 16:22:25.835563,0.21,0.26,0.90,10.74,8.54,11.66,112.56,71.94,-100.54,1
F,2022-11-06 16:22:25.853641,0.18,0.14,0.80,10.13,1.16,10.31,112.56,71.94,-100.54,1
F,2022-11-06 16:22:25.871719,0.12,0.10,0.70,1.83,-15.01,-0.67,112.56,71.94,-100.54,1
F,2022-11-06 16:22:25.890933,0.11,0.10,0.73,-4.58,-26.55,-8.48,111.93,71.59,-103.22,1
F,2022-11-06 16:22:25.908857,0.15,0.13,0.78,-9.40,-38.70,-3.17,111.93,71.59,-103.22,1
F,2022-11-06 16:22:25.927822,0.17,0.20,0.92,-2.01,-34.85,0.37,108.95,73.16,-110.49,1
F,2022-11-06 16:22:25.945680,0.19,0.16,1.01,8.00,-26.86,6.16,108.95,73.16,-110.49,1
F,2022-11-06 16:22:25.963717,0.20,0.18,1.08,7.14,-16.36,10.31,108.95,73.16,-110.49,1
F,2022-11-06 16:22:25.982750,0.21,0.25,1.13,4.03,-14.34,13.18,106.64,73.72,-114.43,1
F,2022-11-06 16:22:26.000723,0.21,0.30,1.20,2.56,-21.61,15.69,106.64,73.72,-114.43,1
F,2022-11-06 16:22:26.018855,0.10,0.38,1.16,8.18,-13.43,17.52,106.64,73.72,-114.43,1
F,2022-11-06 16:22:26.037566,-0.00,0.40,1.19,24.90,15.81,1.89,104.17,72.60,-116.36,1
F,2022-11-06 16:22:26.055820,0.26,0.19,0.94,26.73,46.81,-16.54,104.17,72.60,-116.36,1
F,2022-11-06 16:22:26.073693,0.32,-0.01,0.90,8.61,24.78,-15.14,104.17,72.60,-116.36,1
F,2022-11-06 16:22:26.092702,0.30,-0.04,0.91,3.78,16.30,-9.28,100.88,71.23,-112.19,1
F,2022-11-06 16:22:26.110748,0.30,-0.09,0.89,1.53,9.58,0.67,100.88,71.23,-112.19,1
F,2022-11-06 16:22:26.129712,0.29,-0.05,0.83,-7.14,4.58,6.29,102.80,71.94,-112.30,1
F,2022-11-06 16:22:26.147618,0.31,0.01,0.79,-15.75,-5.37,3.78,102.80,71.94,-112.30,1
F,2022-11-06 16:22:26.165720,0.09,0.51,0.80,-6.59,10.62,-15.63,102.80,71.94,-112.30,1
F,2022-11-06 16:22:26.184725,0.14,0.41,0.89,-3.17,-11.41,-9.95,105.42,73.54,-112.07,1
F,2022-11-06 16:22:26.202631,0.21,0.38,0.93,23.74,-8.06,15.38,105.42,73.54,-112.07,1
F,2022-11-06 16:22:26.220607,0.12,0.56,0.82,12.21,-0.73,-13.67,105.42,73.54,-112.07,1
F,2022-11-06 16:22:26.239813,0.14,0.28,0.89,8.06,-7.14,-39.79,102.15,72.83,-112.85,1
F,2022-11-06 16:22:26.257936,0.15,-0.06,0.92,36.07,-5.86,-11.84,102.15,72.83,-112.85,1
F,2022-11-06 16:22:26.276808,0.19,-0.31,0.97,47.91,-3.42,10.01,95.92,72.36,-114.78,1
F,2022-11-06 16:22:26.294666,0.18,-0.22,1.00,25.94,1.46,17.15,95.92,72.36,-114.78,1
F,2022-11-06 16:22:26.312811,0.13,0.03,0.95,-10.86,-5.43,-4.58,95.92,72.36,-114.78,1
F,2022-11-06 16:22:26.331665,-0.03,0.19,1.10,5.37,3.11,6.71,95.15,71.78,-114.87,1
F,2022-11-06 16:22:26.349813,0.07,0.29,1.06,0.06,21.48,-3.60,95.15,71.78,-114.87,1
F,2022-11-06 16:22:26.367520,0.17,0.31,0.98,5.74,24.90,-6.65,95.15,71.78,-114.87,1
F,2022-11-06 16:22:26.386601,0.23,0.28,0.91,13.92,21.61,-5.62,93.40,69.09,-111.57,1
F,2022-11-06 16:22:26.404575,0.31,0.26,0.85,12.76,14.65,-11.05,93.40,69.09,-111.57,1
F,2022-11-06 16:22:26.422512,0.30,0.26,0.86,5.80,10.62,-18.13,93.40,69.09,-111.57,1
