N,2022-11-08 13:30:15.282371,0.07,0.43,0.75,-18.92,-24.60,12.57,-19.08,-5.27,-40.10,1
N,2022-11-08 13:30:15.298125,0.08,0.40,0.70,-21.12,-15.01,-3.54,-19.08,-5.27,-40.10,1
N,2022-11-08 13:30:15.329242,0.05,0.46,0.70,-34.91,-14.77,-10.80,-19.78,-6.77,-38.92,1
N,2022-11-08 13:30:15.345265,-1.08,0.66,0.66,-25.09,-11.78,-13.31,-19.78,-6.77,-38.92,1
N,2022-11-08 13:30:15.361008,-0.06,1.04,0.30,13.61,26.61,-16.48,-19.78,-6.77,-38.92,1
N,2022-11-08 13:30:15.376650,-0.17,0.52,1.06,69.52,49.01,7.63,-18.64,-7.14,-39.42,1
N,2022-11-08 13:30:15.407773,-0.09,0.36,1.11,19.47,-32.17,36.99,-18.64,-7.14,-39.42,1
N,2022-11-08 13:30:15.423424,-0.09,0.43,0.89,15.14,-85.39,35.34,-19.73,-5.43,-38.82,1
N,2022-11-08 13:30:15.441683,-0.01,0.57,0.90,18.62,-121.64,47.12,-19.73,-5.43,-38.82,1
N,2022-11-08 13:30:15.455328,0.06,0.57,0.77,38.88,-123.11,65.86,-19.73,-5.43,-38.82,1
N,2022-11-08 13:30:15.486618,-0.15,0.52,0.74,44.86,-86.30,57.25,-23.54,-3.37,-37.00,1
N,2022-11-08 13:30:15.502317,-0.18,0.59,0.85,39.00,-36.80,39.61,-23.54,-3.37,-37.00,1
N,2022-11-08 13:30:15.517939,-0.20,0.51,0.90,34.61,7.51,25.82,-24.45,-1.88,-36.49,1
N,2022-11-08 13:30:15.549587,-0.25,0.77,0.79,17.09,16.36,19.65,-24.45,-1.88,-36.49,1
N,2022-11-08 13:30:15.565221,-0.18,0.22,0.69,38.82,74.52,-3.42,-24.45,-1.88,-36.49,1
N,2022-11-08 13:30:15.580969,-0.10,0.25,0.78,6.23,138.92,-51.94,-23.00,-1.22,-37.51,1
N,2022-11-08 13:30:15.596586,0.21,0.08,1.01,-27.83,156.49,-82.89,-23.00,-1.22,-37.51,1
N,2022-11-08 13:30:15.627711,0.09,0.25,1.05,-90.70,138.06,-107.91,-18.44,-5.70,-40.50,1
N,2022-11-08 13:30:15.644229,0.05,0.82,0.95,-134.22,83.25,-85.27,-18.44,-5.70,-40.50,1
N,2022-11-08 13:30:15.660108,-0.02,0.90,0.90,-82.76,35.10,-31.86,-18.44,-5.70,-40.50,1
N,2022-11-08 13:30:15.691254,0.03,0.61,0.43,18.80,-21.79,34.73,-16.48,-8.20,-40.01,1
N,2022-11-08 13:30:15.706865,-0.10,0.38,1.01,53.71,-18.37,41.02,-16.48,-8.20,-40.01,1
N,2022-11-08 13:30:15.722632,0.01,0.45,0.76,22.71,-104.49,39.79,-18.29,-6.96,-38.59,1
N,2022-11-08 13:30:15.754255,0.01,0.49,0.66,25.63,-133.79,32.59,-18.29,-6.96,-38.59,1
N,2022-11-08 13:30:15.769886,-0.01,0.50,0.65,29.97,-153.26,13.67,-18.29,-6.96,-38.59,1
N,2022-11-08 13:30:15.785637,-0.19,0.72,0.55,38.94,-137.15,13.61,-21.56,-5.91,-35.55,1
N,2022-11-08 13:30:15.801258,-0.20,0.63,0.60,60.91,-104.13,20.45,-21.56,-5.91,-35.55,1
N,2022-11-08 13:30:15.832381,-0.30,0.43,0.88,67.08,-39.79,22.46,-23.03,-4.46,-35.46,1
N,2022-11-08 13:30:15.848511,-0.29,0.29,1.03,44.98,-5.55,25.27,-23.03,-4.46,-35.46,1
N,2022-11-08 13:30:15.864271,-0.23,0.41,1.12,5.68,24.41,33.08,-23.03,-4.46,-35.46,1
N,2022-11-08 13:30:15.895387,-0.16,0.17,1.32,-14.34,7.20,44.68,-22.31,-3.43,-35.10,1
N,2022-11-08 13:30:15.911010,-0.29,-0.15,0.50,-12.70,48.10,-32.59,-22.31,-3.43,-35.10,1
N,2022-11-08 13:30:15.926745,-0.05,0.27,0.80,-52.00,92.35,-70.80,-20.84,-4.16,-35.57,1
N,2022-11-08 13:30:15.942871,0.09,0.37,0.80,-65.98,120.06,-85.21,-20.84,-4.16,-35.57,1
N,2022-11-08 13:30:15.974569,0.08,0.73,0.90,-83.13,130.37,-83.07,-20.84,-4.16,-35.57,1
N,2022-11-08 13:30:15.990389,-0.05,0.89,0.99,-93.02,97.41,-49.01,-16.93,-8.47,-36.49,1
N,2022-11-08 13:30:16.006061,-0.03,0.94,0.91,-23.01,30.33,4.52,-16.93,-8.47,-36.49,1
N,2022-11-08 13:30:16.037176,-0.12,0.50,0.75,25.02,4.03,22.28,-16.56,-8.78,-36.25,1
N,2022-11-08 13:30:16.053652,-0.15,0.30,0.58,25.27,-3.42,8.67,-16.56,-8.78,-36.25,1
N,2022-11-08 13:30:16.069439,-0.19,0.46,0.66,3.66,-1.59,-4.70,-16.56,-8.78,-36.25,1
N,2022-11-08 13:30:16.085071,-0.07,0.51,0.58,2.01,0.73,-15.81,-16.19,-8.06,-36.07,1
N,2022-11-08 13:30:16.116186,-0.04,0.54,0.63,-6.77,5.98,-25.09,-16.19,-8.06,-36.07,1
N,2022-11-08 13:30:16.131810,0.12,0.69,0.66,-3.72,18.31,-22.34,-15.81,-8.47,-36.98,1
N,2022-11-08 13:30:16.148008,0.22,0.65,0.76,19.59,18.86,-7.87,-15.81,-8.47,-36.98,1
N,2022-11-08 13:30:16.163767,0.25,0.47,0.89,24.41,-4.64,1.77,-15.81,-8.47,-36.98,1
