v,2022-10-12 18:13:51.786101,-0.31,0.02,0.81,-18.43,0.18,-5.68,22.72,-42.41,45.95,1
v,2022-10-12 18:13:51.806286,-0.31,0.08,0.82,-17.64,-0.24,-10.99,22.81,-41.05,45.29,1
v,2022-10-12 18:13:51.826283,-0.26,0.06,0.83,-9.83,-2.20,-13.55,22.81,-41.05,45.29,1
v,2022-10-12 18:13:51.837582,-0.24,0.04,0.83,1.71,-8.79,-14.28,22.81,-41.05,45.29,1
v,2022-10-12 18:13:51.867738,-0.28,-0.04,0.89,4.09,-12.08,-14.83,25.18,-39.50,42.72,1
v,2022-10-12 18:13:51.879115,-0.30,-0.08,0.94,8.00,-12.45,-13.06,25.18,-39.50,42.72,1
v,2022-10-12 18:13:51.899866,-0.29,-0.11,0.95,6.71,-9.77,-12.45,28.69,-38.64,40.31,1
v,2022-10-12 18:13:51.918882,-0.35,-0.20,1.00,3.30,-7.81,-8.54,28.69,-38.64,40.31,1
v,2022-10-12 18:13:51.940288,-0.35,-0.21,1.01,0.12,-5.25,-3.48,28.69,-38.64,40.31,1
v,2022-10-12 18:13:51.959380,-0.37,-0.20,1.03,-5.13,0.06,3.05,30.48,-37.59,40.76,1
v,2022-10-12 18:13:51.979371,-0.34,-0.21,0.95,-5.98,2.44,5.07,30.48,-37.59,40.76,1
v,2022-10-12 18:13:51.999695,-0.32,-0.18,0.91,-10.50,2.69,3.72,30.94,-38.16,39.34,1
v,2022-10-12 18:13:52.019701,-0.29,-0.09,0.86,-19.04,3.30,2.93,30.94,-38.16,39.34,1
v,2022-10-12 18:13:52.041194,-0.29,0.01,0.85,-28.44,2.50,-2.44,30.94,-38.16,39.34,1
v,2022-10-12 18:13:52.059784,-0.30,0.07,0.85,-26.43,-0.06,-6.47,31.87,-38.46,41.99,1
v,2022-10-12 18:13:52.079782,-0.37,0.07,0.93,20.81,-9.70,7.93,31.87,-38.46,41.99,1
v,2022-10-12 18:13:52.099905,-0.42,-0.06,0.90,28.56,-5.62,4.70,31.93,-39.21,42.02,1
