character,length
A,163
A,79
A,55
A,48
A,55
A,64
A,56
A,59
A,58
A,52
A,39
A,112
A,96
A,60
A,55
A,73
A,58
A,48
A,53
A,63
A,58
A,59
A,52
A,60
A,64
A,90
A,54
A,52
A,49
A,44
A,34
A,96
A,50
A,55
A,55
A,70
A,60
A,46
A,53
A,51
A,92
A,58
A,58
A,53
A,53
A,53
A,62
A,50
A,65
A,52
A,142
A,8
A,29
A,74
A,62
A,61
A,64
A,66
A,60
A,63
A,64
A,63
A,67
A,55
A,60
A,61
A,60
A,66
A,51
A,59
A,60
A,60
A,74
A,56
A,64
A,56
A,57
A,58
A,57
A,54
A,52
A,54
A,63
A,51
A,58
A,60
A,62
A,71
A,67
A,63
A,61
A,57
A,69
A,59
A,53
A,56
A,55
A,69
A,65
A,59
A,103
A,65
A,27
A,102
A,69
A,58
A,55
A,57
A,51
A,60
A,56
A,53
A,50
A,51
A,62
A,54
A,54
A,52
A,52
A,69
A,58
A,56
A,62
A,52
A,80
A,53
A,50
A,56
A,46
A,67
A,48
A,50
A,47
A,50
A,68
A,48
A,52
A,54
A,46
A,76
A,56
A,55
A,51
A,52
A,96
A,53
A,49
A,54
A,52
A,84
A,58
A,63
A,49
A,53
A,115
A,20
A,128
A,76
A,56
A,70
A,59
A,108
A,69
A,78
A,82
A,85
A,83
A,72
A,79
A,70
A,91
A,87
A,84
A,120
A,1
A,550
A,105
A,92
A,593
A,72
A,93
A,68
A,44
A,62
A,62
A,64
A,91
A,55
A,60
A,63
A,76
A,66
A,107
A,87
A,73
A,131
A,15
A,13
A,12
A,12
A,15
A,14
A,14
A,14
A,12
A,14
A,12
A,12
A,11
A,11
A,12
A,15
A,11
A,13
A,10
A,10
A,12
A,12
A,11
A,11
A,10
A,12
A,12
A,11
A,12
A,11
A,9
A,12
A,10
A,10
A,10
A,10
A,11
A,12
A,10
A,11
A,11
A,12
A,11
A,11
A,11
A,11
A,13
A,13
A,10
A,13
A,34
A,66
A,55
A,53
A,56
A,66
A,70
A,66
A,60
A,62
A,60
A,74
A,1
A,62
A,62
A,60
A,56
A,65
A,63
A,61
A,57
A,59
A,69
A,63
A,55
A,64
A,60
A,59
A,56
A,67
A,59
A,57
A,63
A,63
A,64
A,55
A,61
A,68
A,60
A,60
A,55
A,74
A,69
A,57
A,67
A,54
A,69
A,2
A,74
A,62
A,57
A,69
A,55
A,97
A,123
A,142
A,117
A,124
A,113
A,147
A,107
A,115
A,119
A,111
A,125
A,118
A,123
A,121
A,121
A,126
A,108
A,116
A,118
A,130
A,129
A,113
A,116
A,112
A,118
A,119
A,114
A,117
A,114
A,107
A,121
A,105
A,107
A,104
A,106
A,122
A,111
A,105
A,108
A,117
A,108
A,395
A,110
A,157
A,110
A,109
A,119
A,109
A,52
A,23
A,72
A,57
A,47
A,73
A,60
A,83
A,66
A,60
A,67
A,60
A,70
A,58
A,60
A,58
A,58
A,66
A,56
A,59
A,65
A,61
A,68
A,58
A,60
A,61
A,66
A,66
A,58
A,54
A,60
A,53
A,71
A,57
A,58
A,56
A,59
A,68
A,56
A,57
A,57
A,56
A,87
A,57
A,54
A,57
A,56
A,81
A,52
A,58
A,74
A,61
A,25
A,5091
A,49
A,54
A,76
A,47
A,93
A,77
A,75
A,66
A,68
A,73
A,74
A,79
A,67
A,68
A,71
A,77
A,79
A,67
A,69
A,71
A,76
A,85
A,67
A,69
A,69
A,70
A,71
A,60
A,63
A,63
A,69
A,91
A,64
A,66
A,64
A,64
A,77
A,63
A,61
A,66
A,71
A,71
A,63
A,65
A,65
A,69
A,75
A,66
A,70
A,69
A,80
A,78
A,4
A,129
A,66
A,71
A,69
A,73
A,89
A,74
A,70
A,66
A,69
A,86
A,66
A,74
A,74
A,72
A,96
A,69
A,81
A,76
A,76
A,91
A,70
A,72
A,79
A,88
A,73
A,70
A,65
A,61
A,102
A,158
A,56
A,56
