char,precision,recall,f1,support
P,0.5942,0.3586,0.4473,686
p,0.5473,0.4134,0.4711,699
c,0.5841,0.6141,0.5987,526
k,0.6983,0.5557,0.6189,808
v,0.5899,0.6863,0.6345,593
h,0.6354,0.6364,0.6359,693
K,0.5969,0.6979,0.6435,609
n,0.5549,0.7723,0.6458,694
z,0.6238,0.6769,0.6493,588
Z,0.7082,0.6526,0.6792,662
b,0.6652,0.6992,0.6818,645
V,0.6801,0.6900,0.6850,687
C,0.6465,0.7342,0.6876,523
o,0.6653,0.7149,0.6892,670
O,0.6713,0.7539,0.7103,634
w,0.6888,0.7331,0.7103,637
W,0.7366,0.6944,0.7149,733
s,0.7500,0.6909,0.7193,508
a,0.7176,0.7310,0.7242,591
D,0.6550,0.8711,0.7477,667
d,0.7483,0.8017,0.7741,686
G,0.8917,0.6850,0.7748,565
q,0.8019,0.7584,0.7795,683
x,0.8502,0.7405,0.7915,682
X,0.7847,0.8177,0.8008,713
r,0.7879,0.8387,0.8125,651
S,0.7871,0.8545,0.8194,701
m,0.7646,0.8911,0.8230,514
F,0.7556,0.9086,0.8250,711
Y,0.8629,0.8011,0.8309,699
N,0.9196,0.7623,0.8336,795
M,0.9333,0.7568,0.8358,555
I,0.9322,0.7833,0.8513,720
y,0.8082,0.9064,0.8545,609
e,0.8510,0.8774,0.8640,677
U,0.8374,0.8971,0.8662,729
T,0.8012,0.9631,0.8747,812
u,0.8619,0.8883,0.8749,618
J,0.9331,0.8357,0.8817,718
Q,0.9161,0.8607,0.8875,596
R,0.8777,0.9114,0.8942,677
H,0.8878,0.9079,0.8978,619
f,0.9379,0.8621,0.8984,631
l,0.9254,0.8745,0.8992,709
A,0.9573,0.8564,0.9040,759
i,0.9025,0.9056,0.9040,593
B,0.9549,0.8758,0.9136,628
t,0.9131,0.9183,0.9157,698
j,0.9598,0.8947,0.9261,693
E,0.9510,0.9032,0.9265,537
g,0.9742,0.9074,0.9396,583
L,0.9473,0.9488,0.9481,606
