character,total,20-100_count,20-100_pct,30-100_count,30-100_pct,40-80_count,40-80_pct,30-120_count,30-120_pct,40-100_count,40-100_pct,20-150_count,20-150_pct
A,5520,4576,82.89855072463767,4361,79.0036231884058,3700,67.02898550724638,4532,82.10144927536231,4290,77.71739130434783,4835,87.59057971014492
B,5624,4428,78.73399715504978,4216,74.96443812233285,3113,55.352062588904694,4513,80.24537695590327,4152,73.82645803698435,4837,86.00640113798008
C,5608,4698,83.77318116975749,4351,77.58559201141226,3201,57.07917261055635,4437,79.11911554921541,3388,60.41369472182596,4842,86.34094151212554
D,5705,4637,81.27957931638913,4440,77.82646801051709,3656,64.08413672217354,4659,81.66520595968449,4250,74.4960560911481,4911,86.08238387379492
E,5694,4355,76.48401826484019,4150,72.88373726729891,2750,48.296452406041446,4574,80.33017211099403,4055,71.21531436599929,5004,87.88198103266596
F,5662,4743,83.76898622394914,4562,80.57223595902508,3917,69.18050158954433,4712,83.22147651006712,4436,78.34687389614977,4985,88.04309431296362
G,5667,4337,76.53079230633492,4140,73.05452620434092,3224,56.89077113110993,4432,78.20716428445385,3993,70.46056114346216,4794,84.59502382212811
H,5563,4497,80.83767751213374,4305,77.3863023548445,3679,66.13338126909942,4521,81.2690994067949,4248,76.36167535502427,4778,85.88890886212475
I,5691,4660,81.88367597961694,4463,78.42206993498506,3757,66.01651730803022,4644,81.60253031101739,4371,76.8054823405377,4918,86.41714988578457
J,5604,4687,83.6366880799429,4478,79.90720913633119,3784,67.5231977159172,4601,82.1020699500357,4143,73.92933618843684,4878,87.04496788008565
K,5493,4329,78.80939377389404,4173,75.96941561987984,3317,60.38594574913526,4370,79.55579828873111,4109,74.80429637720735,4635,84.3801201529219
L,5443,4491,82.50964541613081,4219,77.51240124931104,3018,55.44736358625758,4265,78.35752342458203,3153,57.92761344846592,4586,84.25500643027742
M,5045,3958,78.45391476709614,3805,75.42120911793855,3055,60.555004955401394,3973,78.75123885034688,3732,73.97423191278494,4278,84.79682854311199
